2025-04-16 12:22:04,747 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0.1, 0.2, 0.3, 0.4, 0.5]), neighbor_selection='corr_threshold', score_modes=['deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=4, gif_duration=500)
2025-04-16 12:22:04,748 - INFO - 当前评分模式: ['deviation']
2025-04-16 12:22:04,748 - INFO - 
==================================================
2025-04-16 12:22:04,748 - INFO - 开始执行网格搜索...
2025-04-16 12:22:04,750 - INFO - [omi-1] Starting grid search...
2025-04-16 12:22:08,121 - INFO - [omi-1.txt] mode=deviation, corr_threshold=0.1, threshold=0.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 12:22:08,168 - INFO - [omi-1.txt] mode=deviation, corr_threshold=0.1, threshold=0.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 12:22:08,168 - INFO - [omi-1.txt] mode=deviation, corr_threshold=0.1, threshold=1.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 12:22:08,168 - INFO - [omi-1.txt] mode=deviation, corr_threshold=0.1, threshold=1.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 12:22:10,178 - INFO - [omi-1.txt] mode=deviation, corr_threshold=0.1, threshold=2.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 12:22:10,181 - INFO - [omi-1.txt] mode=deviation, corr_threshold=0.1, threshold=2.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 12:22:10,194 - INFO - [omi-1.txt] mode=deviation, corr_threshold=0.1, threshold=3.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 12:22:10,194 - INFO - [omi-1.txt] mode=deviation, corr_threshold=0.1, threshold=3.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 12:22:12,173 - INFO - [omi-1.txt] mode=deviation, corr_threshold=0.1, threshold=4.0, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 12:22:12,204 - INFO - [omi-1.txt] mode=deviation, corr_threshold=0.1, threshold=4.5, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 12:22:12,205 - INFO - [omi-1.txt] mode=deviation, corr_threshold=0.1, threshold=5.0, P=0.7417, R=1.0000, F1=0.8517
