2025-04-16 11:16:34,530 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['range_ratio'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/use_topkTrue', visual_dir='./visual/omi/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-16 11:16:34,531 - INFO - 当前评分模式: ['range_ratio']
2025-04-16 11:16:34,531 - INFO - 
==================================================
2025-04-16 11:16:34,531 - INFO - 开始执行网格搜索...
2025-04-16 11:16:34,533 - INFO - [omi-1] Starting grid search...
2025-04-16 11:16:37,826 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=1.0, use_topk=True, P=0.6833, R=0.4607, F1=0.5503
2025-04-16 11:16:37,827 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=1.5, use_topk=True, P=0.6727, R=0.4157, F1=0.5139
2025-04-16 11:16:37,897 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=2.0, use_topk=True, P=0.6596, R=0.3483, F1=0.4559
2025-04-16 11:16:37,897 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=2.5, use_topk=True, P=0.6923, R=0.3034, F1=0.4219
2025-04-16 11:16:39,595 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=3.0, use_topk=True, P=0.7143, R=0.2809, F1=0.4032
2025-04-16 11:16:39,686 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=3.5, use_topk=True, P=0.7188, R=0.2584, F1=0.3802
2025-04-16 11:16:39,762 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=4.0, use_topk=True, P=0.7241, R=0.2360, F1=0.3559
2025-04-16 11:16:39,769 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=4.5, use_topk=True, P=0.7308, R=0.2135, F1=0.3304
2025-04-16 11:16:41,482 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=5.0, use_topk=True, P=0.7200, R=0.2022, F1=0.3158
2025-04-16 11:16:41,546 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=5.5, use_topk=True, P=0.7391, R=0.1910, F1=0.3036
2025-04-16 11:16:41,641 - INFO - [omi-1.txt] mode=range_ratio, top_k=1, threshold=6.0, use_topk=True, P=0.8095, R=0.1910, F1=0.3091
