2025-04-16 12:55:11,090 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0.1, 0.2, 0.3, 0.4, 0.5]), neighbor_selection='corr_threshold', score_modes=['value_times_range'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=4, gif_duration=500)
2025-04-16 12:55:11,091 - INFO - 当前评分模式: ['value_times_range']
2025-04-16 12:55:11,091 - INFO - 
==================================================
2025-04-16 12:55:11,096 - INFO - 开始执行网格搜索...
2025-04-16 12:55:11,100 - INFO - [omi-1] Starting grid search...
2025-04-16 12:55:14,259 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 12:55:14,259 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=0.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:55:14,283 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=1.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:55:14,283 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=1.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:55:16,242 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=2.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:55:16,279 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=2.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:55:16,279 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=3.0, P=0.7232, R=0.9101, F1=0.8060
2025-04-16 12:55:16,347 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=3.5, P=0.7156, R=0.8764, F1=0.7879
2025-04-16 12:55:18,208 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=4.0, P=0.7156, R=0.8764, F1=0.7879
2025-04-16 12:55:18,209 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=4.5, P=0.7156, R=0.8764, F1=0.7879
2025-04-16 12:55:18,269 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=5.0, P=0.7156, R=0.8764, F1=0.7879
2025-04-16 12:55:18,287 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=5.5, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:55:20,675 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=6.0, P=0.7130, R=0.8652, F1=0.7817
2025-04-16 12:55:20,790 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=6.5, P=0.7075, R=0.8427, F1=0.7692
2025-04-16 12:55:20,887 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.1, threshold=7.0, P=0.7075, R=0.8427, F1=0.7692
2025-04-16 12:55:20,887 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 12:55:24,125 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=0.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:55:24,126 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=1.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:55:24,127 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=1.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:55:24,127 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=2.0, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:55:26,516 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=2.5, P=0.7373, R=0.9775, F1=0.8406
2025-04-16 12:55:26,858 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=3.0, P=0.7232, R=0.9101, F1=0.8060
2025-04-16 12:55:26,974 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=3.5, P=0.7156, R=0.8764, F1=0.7879
2025-04-16 12:55:27,591 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=4.0, P=0.7156, R=0.8764, F1=0.7879
2025-04-16 12:55:29,767 - INFO - [omi-1.txt] mode=value_times_range, corr_threshold=0.2, threshold=4.5, P=0.7156, R=0.8764, F1=0.7879
