2025-04-16 11:48:18,088 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['robust_zscore'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/use_topkTrue', visual_dir='./visual/omi/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-16 11:48:18,089 - INFO - 当前评分模式: ['robust_zscore']
2025-04-16 11:48:18,089 - INFO - 
==================================================
2025-04-16 11:48:18,089 - INFO - 开始执行网格搜索...
2025-04-16 11:48:18,092 - INFO - [omi-1] Starting grid search...
2025-04-16 11:48:21,153 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=1.0, use_topk=True, P=0.6849, R=0.5618, F1=0.6173
2025-04-16 11:48:21,250 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=1.5, use_topk=True, P=0.6667, R=0.5169, F1=0.5823
2025-04-16 11:48:21,253 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=2.0, use_topk=True, P=0.6866, R=0.5169, F1=0.5897
2025-04-16 11:48:21,257 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=2.5, use_topk=True, P=0.6923, R=0.5056, F1=0.5844
2025-04-16 11:48:23,198 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=3.0, use_topk=True, P=0.6923, R=0.5056, F1=0.5844
2025-04-16 11:48:23,261 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=3.5, use_topk=True, P=0.7031, R=0.5056, F1=0.5882
2025-04-16 11:48:23,263 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=4.0, use_topk=True, P=0.7031, R=0.5056, F1=0.5882
2025-04-16 11:48:23,296 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=4.5, use_topk=True, P=0.7097, R=0.4944, F1=0.5828
2025-04-16 11:48:25,155 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=5.0, use_topk=True, P=0.7097, R=0.4944, F1=0.5828
2025-04-16 11:48:25,156 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=5.5, use_topk=True, P=0.7167, R=0.4831, F1=0.5772
2025-04-16 11:48:25,156 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=6.0, use_topk=True, P=0.7321, R=0.4607, F1=0.5655
2025-04-16 11:48:25,198 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=6.5, use_topk=True, P=0.7321, R=0.4607, F1=0.5655
2025-04-16 11:48:28,276 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=7.0, use_topk=True, P=0.7547, R=0.4494, F1=0.5634
2025-04-16 11:48:28,442 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=1.0, use_topk=True, P=0.7126, R=0.6966, F1=0.7045
2025-04-16 11:48:28,578 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=1.5, use_topk=True, P=0.7093, R=0.6854, F1=0.6971
2025-04-16 11:48:28,580 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=2.0, use_topk=True, P=0.7108, R=0.6629, F1=0.6860
2025-04-16 11:48:32,734 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=2.5, use_topk=True, P=0.7160, R=0.6517, F1=0.6824
2025-04-16 11:48:32,864 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=3.0, use_topk=True, P=0.7160, R=0.6517, F1=0.6824
2025-04-16 11:48:33,055 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=3.5, use_topk=True, P=0.7125, R=0.6404, F1=0.6746
2025-04-16 11:48:33,084 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=4.0, use_topk=True, P=0.7215, R=0.6404, F1=0.6786
2025-04-16 11:48:37,126 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=4.5, use_topk=True, P=0.7179, R=0.6292, F1=0.6707
2025-04-16 11:48:37,127 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=5.0, use_topk=True, P=0.7368, R=0.6292, F1=0.6788
2025-04-16 11:48:37,327 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=5.5, use_topk=True, P=0.7333, R=0.6180, F1=0.6707
2025-04-16 11:48:37,328 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=6.0, use_topk=True, P=0.7297, R=0.6067, F1=0.6626
2025-04-16 11:48:41,474 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=6.5, use_topk=True, P=0.7297, R=0.6067, F1=0.6626
2025-04-16 11:48:41,610 - INFO - [omi-1.txt] mode=robust_zscore, top_k=2, threshold=7.0, use_topk=True, P=0.7361, R=0.5955, F1=0.6584
2025-04-16 11:48:41,718 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=1.0, use_topk=True, P=0.7396, R=0.7978, F1=0.7676
2025-04-16 11:48:41,747 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=1.5, use_topk=True, P=0.7396, R=0.7978, F1=0.7676
2025-04-16 11:48:46,148 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=2.0, use_topk=True, P=0.7283, R=0.7528, F1=0.7403
2025-04-16 11:48:46,212 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=2.5, use_topk=True, P=0.7253, R=0.7416, F1=0.7333
2025-04-16 11:48:46,243 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=3.0, use_topk=True, P=0.7253, R=0.7416, F1=0.7333
2025-04-16 11:48:46,307 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=3.5, use_topk=True, P=0.7253, R=0.7416, F1=0.7333
2025-04-16 11:48:48,480 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=4.0, use_topk=True, P=0.7416, R=0.7416, F1=0.7416
2025-04-16 11:48:48,599 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=4.5, use_topk=True, P=0.7386, R=0.7303, F1=0.7345
2025-04-16 11:48:48,600 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=5.0, use_topk=True, P=0.7442, R=0.7191, F1=0.7314
2025-04-16 11:48:48,600 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=5.5, use_topk=True, P=0.7381, R=0.6966, F1=0.7168
2025-04-16 11:48:50,620 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=6.0, use_topk=True, P=0.7439, R=0.6854, F1=0.7135
2025-04-16 11:48:50,832 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=6.5, use_topk=True, P=0.7439, R=0.6854, F1=0.7135
2025-04-16 11:48:50,845 - INFO - [omi-1.txt] mode=robust_zscore, top_k=3, threshold=7.0, use_topk=True, P=0.7531, R=0.6854, F1=0.7176
2025-04-16 11:48:50,845 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=1.0, use_topk=True, P=0.7400, R=0.8315, F1=0.7831
2025-04-16 11:48:52,687 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=1.5, use_topk=True, P=0.7374, R=0.8202, F1=0.7766
2025-04-16 11:48:52,843 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=2.0, use_topk=True, P=0.7320, R=0.7978, F1=0.7634
2025-04-16 11:48:52,913 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=2.5, use_topk=True, P=0.7368, R=0.7865, F1=0.7609
2025-04-16 11:48:52,932 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=3.0, use_topk=True, P=0.7368, R=0.7865, F1=0.7609
2025-04-16 11:48:54,687 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=3.5, use_topk=True, P=0.7368, R=0.7865, F1=0.7609
2025-04-16 11:48:54,905 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=4.0, use_topk=True, P=0.7447, R=0.7865, F1=0.7650
2025-04-16 11:48:54,962 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=4.5, use_topk=True, P=0.7419, R=0.7753, F1=0.7582
2025-04-16 11:48:54,963 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=5.0, use_topk=True, P=0.7500, R=0.7753, F1=0.7624
2025-04-16 11:48:57,091 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=5.5, use_topk=True, P=0.7500, R=0.7753, F1=0.7624
2025-04-16 11:48:57,535 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=6.0, use_topk=True, P=0.7528, R=0.7528, F1=0.7528
