2025-04-16 10:46:43,486 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['deviation'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/use_topkTrue', visual_dir='./visual/omi/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-16 10:46:43,486 - INFO - 当前评分模式: ['deviation']
2025-04-16 10:46:43,486 - INFO - 
==================================================
2025-04-16 10:46:43,486 - INFO - 开始执行网格搜索...
2025-04-16 10:46:43,488 - INFO - [omi-1] Starting grid search...
2025-04-16 10:46:46,855 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=1.0, use_topk=True, P=0.7456, R=0.9551, F1=0.8374
2025-04-16 10:46:46,855 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=1.5, use_topk=True, P=0.7456, R=0.9551, F1=0.8374
2025-04-16 10:46:46,875 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=2.0, use_topk=True, P=0.7434, R=0.9438, F1=0.8317
2025-04-16 10:46:46,975 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=2.5, use_topk=True, P=0.7387, R=0.9213, F1=0.8200
2025-04-16 10:46:49,071 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=3.0, use_topk=True, P=0.7364, R=0.9101, F1=0.8141
2025-04-16 10:46:49,092 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=3.5, use_topk=True, P=0.7315, R=0.8876, F1=0.8020
2025-04-16 10:46:49,093 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=4.0, use_topk=True, P=0.7238, R=0.8539, F1=0.7835
2025-04-16 10:46:49,164 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=4.5, use_topk=True, P=0.7238, R=0.8539, F1=0.7835
2025-04-16 10:46:51,146 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=5.0, use_topk=True, P=0.7238, R=0.8539, F1=0.7835
2025-04-16 10:46:51,339 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=5.5, use_topk=True, P=0.7308, R=0.8539, F1=0.7876
2025-04-16 10:46:51,340 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=6.0, use_topk=True, P=0.7255, R=0.8315, F1=0.7749
2025-04-16 10:46:51,340 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=6.5, use_topk=True, P=0.7327, R=0.8315, F1=0.7789
2025-04-16 10:46:53,242 - INFO - [omi-1.txt] mode=deviation, top_k=1, threshold=7.0, use_topk=True, P=0.7327, R=0.8315, F1=0.7789
2025-04-16 10:46:53,340 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=1.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 10:46:53,497 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=1.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 10:46:53,499 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=2.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 10:46:55,411 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=2.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 10:46:55,549 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=3.0, use_topk=True, P=0.7479, R=1.0000, F1=0.8558
2025-04-16 10:46:55,549 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=3.5, use_topk=True, P=0.7436, R=0.9775, F1=0.8447
2025-04-16 10:46:55,672 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=4.0, use_topk=True, P=0.7391, R=0.9551, F1=0.8333
2025-04-16 10:46:57,507 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=4.5, use_topk=True, P=0.7391, R=0.9551, F1=0.8333
2025-04-16 10:46:57,608 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=5.0, use_topk=True, P=0.7345, R=0.9326, F1=0.8218
2025-04-16 10:46:57,635 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=5.5, use_topk=True, P=0.7297, R=0.9101, F1=0.8100
2025-04-16 10:46:57,785 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=6.0, use_topk=True, P=0.7297, R=0.9101, F1=0.8100
2025-04-16 10:46:59,493 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=6.5, use_topk=True, P=0.7297, R=0.9101, F1=0.8100
2025-04-16 10:46:59,670 - INFO - [omi-1.txt] mode=deviation, top_k=2, threshold=7.0, use_topk=True, P=0.7273, R=0.8989, F1=0.8040
2025-04-16 10:46:59,740 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=1.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 10:46:59,915 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=1.5, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
2025-04-16 10:47:01,605 - INFO - [omi-1.txt] mode=deviation, top_k=3, threshold=2.0, use_topk=True, P=0.7417, R=1.0000, F1=0.8517
